# KaarigarAI pricing reference set (Day 4) — comparables + XGBoost training data.
# category/material/size/region/season -> price_inr. Every row is flagged observed|synthesised
# per data_sources.md. ALL rows here are "synthesised": hand-compiled within researched,
# plausible Indian handicraft market ranges for each category (general market knowledge, not
# scraped from a live listing), NOT pulled from a real GeM/marketplace listing — so the
# synthetic share is 100% until real observed listings are added. Replace/augment with real
# GeM public listings or open handicraft marketplace data before relying on this for a demo
# number that gets quoted aloud. size in {small, medium, large}; season in
# {wedding, diwali, regular}; region is a broad zone, not a precise state.
#
# size_score (added 6 Sep, Day 4 follow-up): the continuous 0-1 vision-coverage
# number that size_class buckets. Backfilled, not independently measured — within
# each (category, size) group, rows are ranked by price_inr and spread evenly across
# that bucket's coverage range (pipelines.pricing.attributes.SIZE_BOUNDS), so the
# cheapest "medium" clay pot gets the lowest medium-range score and the priciest
# gets the highest. This assumes price varies with size within a bucket, which is
# usually true but not always — season/region can also move the price of two
# same-sized items — so treat size_score as a soft, price-informed proxy, not a
# real per-row measurement. Single-row buckets get the bucket's plain midpoint.
category,material,size,size_score,region,season,price_inr,source,observed_or_synthesised
kanjivaram silk saree,silk,large,0.65,south,wedding,15000,compiled from typical Indian silk-saree market range,synthesised
pashmina shawl,wool,small,0.075,north,regular,2100,compiled from typical Indian pashmina market range,synthesised
pashmina shawl,wool,medium,0.3,north,wedding,5400,compiled from typical Indian pashmina market range,synthesised
pashmina shawl,wool,large,0.65,north,wedding,11000,compiled from typical Indian pashmina market range,synthesised
jute bag,jute,small,0.075,east,regular,220,compiled from typical Indian jute-craft market range,synthesised
jute bag,jute,medium,0.3,east,regular,480,compiled from typical Indian jute-craft market range,synthesised
bamboo basket,bamboo,small,0.075,northeast,regular,230,compiled from typical Indian bamboo-craft market range,synthesised
bamboo basket,bamboo,medium,0.3,northeast,regular,520,compiled from typical Indian bamboo-craft market range,synthesised
bamboo basket,bamboo,large,0.65,northeast,regular,1300,compiled from typical Indian bamboo-craft market range,synthesised
wooden toy,wood,small,0.0375,south,regular,170,compiled from typical Indian wooden-toy market range,synthesised
wooden toy,wood,small,0.1125,north,diwali,220,compiled from typical Indian wooden-toy market range,synthesised
wooden toy,wood,medium,0.3,south,regular,450,compiled from typical Indian wooden-toy market range,synthesised
madhubani painting,paper,small,0.075,east,regular,850,compiled from typical Indian madhubani-art market range,synthesised
madhubani painting,paper,medium,0.3,east,regular,2300,compiled from typical Indian madhubani-art market range,synthesised
madhubani painting,paper,large,0.65,east,wedding,6800,compiled from typical Indian madhubani-art market range,synthesised
